customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Predicted_CLV
4678,1,1,1,0,61,1,2,2,1,1,1,1,1,1,2,0,0,25.0,1501.75,0.01834266888120406,1501.7500000000011
6710,0,0,0,0,19,1,2,2,1,1,1,1,1,1,0,0,0,24.7,465.85,0.053622745919656184,465.849999999998
594,1,0,1,0,13,1,2,1,0,0,2,0,2,2,0,1,1,102.25,1359.0,0.7267251224875921,1359.0000000000002
3634,1,0,1,0,37,1,2,0,2,0,0,0,0,0,0,1,3,55.05,2030.75,0.15684513466033423,2030.7499999999995
4689,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,29.45,161.45,0.23911681903904067,161.44999999999692
2143,1,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,1,29.8,94.4,0.49420784981241855,94.39999999999725
902,1,1,1,1,52,1,2,0,0,2,2,0,2,2,1,1,2,80.85,4079.55,0.17107518104785577,4079.550000000001
6606,0,1,0,0,15,1,0,1,0,0,0,0,2,2,0,1,2,91.5,1400.3,0.7046023531356889,1400.2999999999995
6107,0,0,0,0,26,1,2,0,2,2,0,0,2,0,0,1,0,69.5,1800.05,0.16902609638158791,1800.0499999999993
307,1,0,1,0,66,1,2,0,2,2,0,2,2,2,2,0,2,85.25,5538.35,0.03740071128766243,5538.350000000002
1373,1,0,0,0,4,1,0,1,0,0,2,0,0,2,0,0,2,86.05,308.1,0.7174196211700751,308.09999999999957
5658,1,0,1,0,8,1,0,1,2,0,0,0,0,0,0,0,2,75.0,632.95,0.2713338939923111,632.9499999999991
3040,1,0,0,0,48,1,0,2,1,1,1,1,1,1,2,0,1,20.15,982.95,0.022505190137584383,982.9500000000008
2734,0,0,0,1,10,1,2,0,2,0,2,2,0,2,1,0,1,73.55,693.3,0.10540847764218288,693.2999999999987
6255,0,0,0,0,64,1,2,1,2,2,2,2,2,2,2,1,0,115.1,7334.05,0.0656371706050918,7334.050000000001
3891,1,0,0,0,22,1,0,1,0,2,0,0,2,2,0,1,3,93.2,2157.3,0.4053444640726612,2157.300000000001
6670,1,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,93.55,93.55,0.9307624151786853,93.54999999999959
6047,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,0.027943745453944117,3260.1000000000017
1279,1,0,0,1,22,1,0,1,0,2,2,0,2,0,0,1,2,89.4,2001.5,0.4962671876647089,2001.5000000000007
6759,1,0,1,0,65,1,2,1,0,2,0,0,2,0,0,1,0,91.85,5940.85,0.23726860962872348,5940.850000000001
2476,1,0,1,1,34,0,1,0,2,0,0,0,0,0,1,0,0,30.4,938.65,0.07021510460742028,938.6499999999991
5276,0,0,1,0,72,1,0,2,1,1,1,1,1,1,2,0,0,20.05,1423.65,0.010046398298735262,1423.6500000000012
3839,1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,1,2,51.35,262.3,0.4497289499209622,262.29999999999836
1187,1,1,1,0,46,1,2,1,0,0,2,0,2,2,0,1,2,98.85,4564.9,0.6424653626568996,4564.9000000000015
5234,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.15,123.8,0.6236506545267663,123.79999999999794
1363,1,0,1,1,37,1,0,0,2,0,2,2,0,0,1,1,3,58.75,2203.1,0.04561469993406526,2203.1
2947,0,0,0,0,33,1,2,2,1,1,1,1,1,1,2,0,1,25.7,826.1,0.019634162848362557,826.099999999999
1286,0,0,0,1,16,1,0,2,1,1,1,1,1,1,1,1,0,19.3,360.35,0.05128724741061298,360.3499999999978
